Lon,Lat,LCC_elev_AD1725_C,LCC_elev_AD1725_B,LCC_elev_AD1725_U,NLC_elev_AD1725_C,NLC_elev_AD1725_B,NLC_elev_AD1725_O,HLU_elev_AD1725
-10.0000000000,52.0000000000,0.0309703038,0.1821505420,0.7868791542,0.0601374225,0.3536957268,0.5861668507,0.4850077957
-10.0000000000,53.0000000000,0.0271803294,0.1733091450,0.7995105256,0.0542712075,0.3460479240,0.5996808685,0.4991758858
-10.0000000000,54.0000000000,0.0250246115,0.1660205252,0.8089548633,0.0478001497,0.3171200462,0.6350798041,0.4764742022
-10.0000000000,55.0000000000,0.0264738614,0.1643740956,0.8091520430,0.0429023623,0.2663773488,0.6907202889,0.3829276538
-9.0000000000,52.0000000000,0.0267152050,0.1608048362,0.8124799588,0.0589844707,0.3550408149,0.5859747143,0.5470807033
-9.0000000000,53.0000000000,0.0227289165,0.1520223207,0.8252487628,0.0524962957,0.3511213883,0.5963823160,0.5670377088
-9.0000000000,54.0000000000,0.0216079128,0.1475360966,0.8308559906,0.0467887709,0.3194678115,0.6337434176,0.5381816532
-9.0000000000,55.0000000000,0.0256094223,0.1603210922,0.8140694856,0.0420845812,0.2634595169,0.6944559019,0.3914773168
-8.0000000000,53.0000000000,0.0232199946,0.1481118536,0.8286681518,0.0525749346,0.3353562801,0.6120687853,0.5583447742
-8.0000000000,54.0000000000,0.0221787187,0.1402737949,0.8375474864,0.0473901515,0.2997286041,0.6528812444,0.5319973036
-8.0000000000,55.0000000000,0.0256809137,0.1571669057,0.8171521806,0.0419002820,0.2564292586,0.7016704594,0.3870944894
-8.0000000000,56.0000000000,0.0275962166,0.1513486211,0.8210551623,0.0380485697,0.2086734803,0.7532779500,0.2747108020
-7.0000000000,53.0000000000,0.0259287748,0.1521249797,0.8219462454,0.0523655725,0.3072305460,0.6404038815,0.5048507328
-7.0000000000,54.0000000000,0.0248100558,0.1478939031,0.8272960412,0.0474310886,0.2827389384,0.6698299730,0.4769241763
-7.0000000000,55.0000000000,0.0276540123,0.1583851709,0.8139608168,0.0426733654,0.2444067859,0.7129198487,0.3519608292
-7.0000000000,56.0000000000,0.0293679573,0.1504712856,0.8201607571,0.0390744691,0.2002041044,0.7607214265,0.2484105855
-7.0000000000,58.0000000000,0.0265170531,0.1217990307,0.8516839162,0.0312167386,0.1433857860,0.8253974754,0.1505501758
-7.0000000000,59.0000000000,0.0275219539,0.1159563361,0.8565217100,0.0316276784,0.1332547000,0.8351176215,0.1298142873
-6.0000000000,51.0000000000,0.0353417108,0.1745330222,0.7901252670,0.0610394389,0.3014397866,0.6375207745,0.4210020377
-6.0000000000,55.0000000000,0.0306297025,0.1572920729,0.8120782247,0.0434789013,0.2232762961,0.7332448026,0.2955272205
-6.0000000000,56.0000000000,0.0335868128,0.1405989247,0.8258142625,0.0427472861,0.1789459005,0.7783068135,0.2142936813
-6.0000000000,57.0000000000,0.0330765727,0.1275005836,0.8394228437,0.0397923787,0.1533880658,0.8068195555,0.1687711624
-6.0000000000,58.0000000000,0.0306053528,0.1264963357,0.8428983115,0.0356792195,0.1474673583,0.8168534222,0.1422078952
-6.0000000000,59.0000000000,0.0311627234,0.1213023178,0.8475349588,0.0357114994,0.1390086354,0.8252798651,0.1273756669
-5.0000000000,49.0000000000,0.0332311431,0.1654008068,0.8013680501,0.0688835556,0.3428529564,0.5882634880,0.5175750896
