Lon,Lat,LCC_all_BC1000_C,LCC_all_BC1000_B,LCC_all_BC1000_U,NLC_all_BC1000_C,NLC_all_BC1000_B,NLC_all_BC1000_O,HLU_all_BC1000
57
11.0000000000,64.0000000000,0.2328744908,0.4131878854,0.3539376238,0.2358764039,0.4185141627,0.3456094334,0.0127266357
11.0000000000,65.0000000000,0.2304622807,0.4186174309,0.3509202884,0.2335023379,0.4241394665,0.3423581957,0.0130193863
12.0000000000,45.0000000000,0.2357040717,0.3597004167,0.4045955116,0.2974367278,0.4539086412,0.2486546310,0.2075488677
12.0000000000,46.0000000000,0.4864867476,0.2642989508,0.2492143017,0.5560150196,0.3020723319,0.1419126485,0.1250474710
12.0000000000,47.0000000000,0.7369350777,0.1433582616,0.1197066607,0.8035715353,0.1563212579,0.0401072068,0.0829253585
12.0000000000,48.0000000000,0.6347391996,0.2155967876,0.1496640129,0.7007530108,0.2380191709,0.0612278183,0.0942041065
12.0000000000,49.0000000000,0.5613151918,0.2621121389,0.1765726694,0.6317043792,0.2949811236,0.0733144972,0.1114274173
12.0000000000,50.0000000000,0.5744554888,0.2587903373,0.1667541738,0.6423899245,0.2893945806,0.0682154949,0.1057526481
12.0000000000,51.0000000000,0.4697622440,0.3322851539,0.1979526022,0.5325752274,0.3767157614,0.0907090112,0.1179419925
12.0000000000,52.0000000000,0.2346202686,0.4541265457,0.3112531857,0.2688052429,0.5202943342,0.2109004229,0.1271737632
12.0000000000,53.0000000000,0.1635884121,0.4884514011,0.3479601868,0.1840483179,0.5495417286,0.2664099534,0.1111659485
12.0000000000,54.0000000000,0.1129012577,0.5305827831,0.3565159592,0.1282882137,0.6028942356,0.2688175507,0.1199405272
12.0000000000,55.0000000000,0.0792592627,0.5542650376,0.3664756997,0.0938310436,0.6561664231,0.2500025333,0.1552980798
12.0000000000,56.0000000000,0.0557625634,0.5582692801,0.3859681565,0.0699806890,0.7006146506,0.2294046604,0.2031721294
12.0000000000,57.0000000000,0.0784506971,0.5974755324,0.3240737704,0.0954431299,0.7268888226,0.1776680475,0.1780372543
12.0000000000,58.0000000000,0.1119808929,0.6224048290,0.2656142781,0.1298226278,0.7215715857,0.1486057865,0.1374316265
12.0000000000,59.0000000000,0.1311689966,0.6227099844,0.2461210190,0.1470022448,0.6978765403,0.1551212149,0.1077075265
12.0000000000,60.0000000000,0.1693895643,0.6029191803,0.2276912554,0.1824526340,0.6494154055,0.1681319605,0.0715970468
12.0000000000,61.0000000000,0.2333627012,0.5485813415,0.2180559573,0.2425249174,0.5701195772,0.1873555055,0.0377784530
12.0000000000,62.0000000000,0.2865726233,0.4646385188,0.2487888579,0.2923297798,0.4739729647,0.2336972556,0.0196940471
12.0000000000,63.0000000000,0.2539684327,0.4036808393,0.3423507280,0.2574158802,0.4091605302,0.3334235896,0.0133925207
12.0000000000,64.0000000000,0.2451383208,0.3978659655,0.3569957137,0.2481519592,0.4027571803,0.3490908605,0.0121443266
12.0000000000,65.0000000000,0.2517091359,0.4171430250,0.3311478391,0.2547385800,0.4221635478,0.3230978722,0.0118923646
12.0000000000,66.0000000000,0.2285323351,0.4270898640,0.3443778009,0.2312452889,0.4321599345,0.3365947766,0.0117319310
13.0000000000,46.0000000000,0.4048779146,0.2916480669,0.3034740184,0.4519711403,0.3255710046,0.2224578551,0.1041952052
13.0000000000,47.0000000000,0.7624813737,0.1288600149,0.1086586114,0.8248756082,0.1394046948,0.0357196969,0.0756407802
13.0000000000,48.0000000000,0.7019476098,0.1737312779,0.1243211123,0.7630160047,0.1888456400,0.0481383553,0.0800355361
13.0000000000,49.0000000000,0.6450854832,0.2072013062,0.1477132106,0.7118707111,0.2286527058,0.0594765832,0.0938165131
13.0000000000,50.0000000000,0.6212308281,0.2255985513,0.1531706205,0.6848417361,0.2486987068,0.0664595572,0.0928840995
13.0000000000,51.0000000000,0.5109326967,0.3018197024,0.1872476009,0.5699202310,0.3366649963,0.0934147727,0.1035013867
