Lon,Lat,LCC_all_AD1425_C,LCC_all_AD1425_B,LCC_all_AD1425_U,NLC_all_AD1425_C,NLC_all_AD1425_B,NLC_all_AD1425_O,HLU_all_AD1425
-10.0000000000,52.0000000000,0.0257548269,0.2208028994,0.7534422737,0.0326903408,0.2802628820,0.6870467772,0.2121578934
-10.0000000000,53.0000000000,0.0255025239,0.2261310361,0.7483664400,0.0322635090,0.2860807328,0.6816557582,0.2095551703
-10.0000000000,54.0000000000,0.0253576317,0.2249756209,0.7496667474,0.0312263144,0.2770432013,0.6917304843,0.1879402928
-10.0000000000,55.0000000000,0.0279375255,0.2149080564,0.7571544181,0.0326278615,0.2509882376,0.7163839010,0.1437524784
-9.0000000000,52.0000000000,0.0251406625,0.2172928653,0.7575664722,0.0331447552,0.2864729123,0.6803823326,0.2414889646
-9.0000000000,53.0000000000,0.0244205526,0.2234983433,0.7520811041,0.0318950817,0.2919056756,0.6761992427,0.2343473871
-9.0000000000,54.0000000000,0.0250968356,0.2210863086,0.7538168558,0.0315851706,0.2782441927,0.6901706367,0.2054234574
-9.0000000000,55.0000000000,0.0260620595,0.2090936356,0.7648443050,0.0305766002,0.2453134034,0.7241099963,0.1476469176
-8.0000000000,53.0000000000,0.0241266361,0.2160792281,0.7597941358,0.0314069961,0.2812824561,0.6873105478,0.2318069492
-8.0000000000,54.0000000000,0.0255664329,0.2121395945,0.7622939726,0.0323370145,0.2683190565,0.6993439289,0.2093755945
-8.0000000000,55.0000000000,0.0240347720,0.2035388813,0.7724263467,0.0285572890,0.2418378942,0.7296048168,0.1583664671
-8.0000000000,56.0000000000,0.0267004316,0.1907997884,0.7824997799,0.0304202069,0.2173810941,0.7521986990,0.1222797491
-7.0000000000,53.0000000000,0.0243098507,0.2052112992,0.7704788500,0.0313320940,0.2644894777,0.7041784283,0.2241230123
-7.0000000000,54.0000000000,0.0245844621,0.2072958173,0.7681197206,0.0311992022,0.2630712070,0.7057295908,0.2120163218
-7.0000000000,55.0000000000,0.0244083795,0.2032147029,0.7723769176,0.0293355319,0.2442362626,0.7264282055,0.1679585141
-7.0000000000,56.0000000000,0.0263508460,0.1890751216,0.7845740324,0.0302738634,0.2172239331,0.7525022035,0.1295843005
-7.0000000000,58.0000000000,0.0282212403,0.1494712901,0.8223074696,0.0307961362,0.1631089974,0.8060948664,0.0836110057
-7.0000000000,59.0000000000,0.0288600550,0.1353546718,0.8357852732,0.0311305459,0.1460033538,0.8228661003,0.0729345025
-6.0000000000,51.0000000000,0.0249914154,0.1948552621,0.7801533226,0.0329326398,0.2567720980,0.7102952622,0.2411353743
-6.0000000000,55.0000000000,0.0251520159,0.1910205912,0.7838273929,0.0299868241,0.2277392352,0.7422739407,0.1612310850
-6.0000000000,56.0000000000,0.0287697793,0.1666128734,0.8046173474,0.0328067915,0.1899922047,0.7772010038,0.1230541610
-6.0000000000,57.0000000000,0.0259826272,0.1404326923,0.8335846805,0.0288142521,0.1557372538,0.8154484941,0.0982716797
-6.0000000000,58.0000000000,0.0250960627,0.1380809057,0.8368230315,0.0273431667,0.1504446835,0.8222121498,0.0821815534
-6.0000000000,59.0000000000,0.0303442642,0.1376869105,0.8319688252,0.0327686363,0.1486874835,0.8185438803,0.0739845257
-5.0000000000,49.0000000000,0.0196348814,0.1726815786,0.8076835399,0.0304247697,0.2675746876,0.7020005426,0.3546415764
-5.0000000000,51.0000000000,0.0248718867,0.1789614433,0.7961666699,0.0327831005,0.2358852407,0.7313316588,0.2413198775
-5.0000000000,52.0000000000,0.0267207720,0.1809900790,0.7922891490,0.0336602568,0.2279938819,0.7383458613,0.2061625623
-5.0000000000,53.0000000000,0.0257245803,0.1823834979,0.7918919218,0.0314174204,0.2227448992,0.7458376803,0.1812001147
-5.0000000000,54.0000000000,0.0263204274,0.1844647673,0.7892148053,0.0317472189,0.2224980338,0.7457547473,0.1709375395
-5.0000000000,55.0000000000,0.0270030312,0.1667421435,0.8062548253,0.0316639988,0.1955233467,0.7728126544,0.1472008522
-5.0000000000,56.0000000000,0.0291305194,0.1379563874,0.8329130932,0.0328306167,0.1554793180,0.8116900653,0.1127026464
-5.0000000000,57.0000000000,0.0811694452,0.2757080917,0.6431224630,0.0892306193,0.3030894656,0.6076799151,0.0903408958
-5.0000000000,58.0000000000,0.0240931877,0.1235722825,0.8523345298,0.0261067385,0.1338996444,0.8399936171,0.0771276277
-5.0000000000,59.0000000000,0.0243721192,0.1186445926,0.8569832882,0.0261695015,0.1273943323,0.8464361661,0.0686823312
-4.0000000000,48.0000000000,0.0196709734,0.1582451231,0.8220839035,0.0320340474,0.2577011154,0.7102648372,0.3859354359
-4.0000000000,49.0000000000,0.0172754831,0.1608543856,0.8218701312,0.0294361351,0.2740838785,0.6964799864,0.4131198578
-4.0000000000,51.0000000000,0.0255220650,0.1624680518,0.8120098832,0.0342034893,0.2177321572,0.7480643535,0.2538169194
-4.0000000000,52.0000000000,0.0297940505,0.1569443134,0.8132616361,0.0374742053,0.1974005990,0.7651251957,0.2049451004
-4.0000000000,53.0000000000,0.0245547860,0.1609797590,0.8144654550,0.0298226271,0.1955154211,0.7746619519,0.1766390695
-4.0000000000,54.0000000000,0.0259395065,0.1627716312,0.8112888623,0.0307969482,0.1932523074,0.7759507444,0.1577247723
-4.0000000000,55.0000000000,0.0288294607,0.1484394526,0.8227310866,0.0331532240,0.1707019935,0.7961447825,0.1304175802
-4.0000000000,56.0000000000,0.0279536782,0.1326147717,0.8394315500,0.0314229944,0.1490735206,0.8195034851,0.1104069239
-4.0000000000,57.0000000000,0.0275620213,0.1282437046,0.8441942741,0.0304826166,0.1418329820,0.8276844014,0.0958118288
-4.0000000000,58.0000000000,0.0237875610,0.1261619168,0.8500505222,0.0259183319,0.1374628712,0.8366187969,0.0822109587
-4.0000000000,59.0000000000,0.0267973169,0.1198102839,0.8533923992,0.0287638276,0.1286025150,0.8426336574,0.0683674894
-3.0000000000,48.0000000000,0.0182167702,0.1524810279,0.8293022018,0.0312754876,0.2617872671,0.7069372453,0.4175384097
-3.0000000000,49.0000000000,0.0149785928,0.1485472586,0.8364741487,0.0282014522,0.2796823755,0.6921161724,0.4688715786
-3.0000000000,51.0000000000,0.0229959650,0.1626971787,0.8143068563,0.0328781135,0.2326136916,0.7345081950,0.3005692071
-3.0000000000,52.0000000000,0.0250148322,0.1638352034,0.8111499645,0.0339500288,0.2223564733,0.7436934979,0.2631867159
-3.0000000000,53.0000000000,0.0259134829,0.1601262491,0.8139602680,0.0331870761,0.2050717010,0.7617412228,0.2191694502
-3.0000000000,54.0000000000,0.0289351638,0.1467489216,0.8243159146,0.0351217665,0.1781251833,0.7867530502,0.1761472530
-3.0000000000,55.0000000000,0.0250644490,0.1344501787,0.8404853723,0.0290514810,0.1558373297,0.8151111892,0.1372402307
-3.0000000000,56.0000000000,0.0246480246,0.1396345030,0.8357174724,0.0280539589,0.1589295963,0.8130164448,0.1214065458
-3.0000000000,57.0000000000,0.0246328160,0.1320191000,0.8433480840,0.0275956688,0.1478984521,0.8245058791,0.1073665874
-3.0000000000,58.0000000000,0.0256388492,0.1317673632,0.8425937876,0.0282780725,0.1453312910,0.8263906364,0.0933310903
-2.0000000000,45.0000000000,0.0308402416,0.1512616603,0.8178980981,0.0374315098,0.1835897524,0.7789787378,0.1760887612
-2.0000000000,47.0000000000,0.0229823059,0.1551985889,0.8218191052,0.0345907414,0.2335898879,0.7318193706,0.3355937181
-2.0000000000,48.0000000000,0.0175334082,0.1455946725,0.8368719193,0.0316960341,0.2631988967,0.7051050692,0.4468264332
-2.0000000000,49.0000000000,0.0145987018,0.1431387136,0.8422625846,0.0288718886,0.2830857882,0.6880423232,0.4943627706
-2.0000000000,50.0000000000,0.0158073874,0.1508231950,0.8333694176,0.0286258713,0.2731283332,0.6982457955,0.4477936680
-2.0000000000,51.0000000000,0.0215859495,0.1594167447,0.8189973058,0.0324166000,0.2394033601,0.7281800400,0.3341081567
-2.0000000000,52.0000000000,0.0224405654,0.1599390107,0.8176204238,0.0325050093,0.2316705897,0.7358244010,0.3096274719
-2.0000000000,53.0000000000,0.0259821032,0.1630935527,0.8109243441,0.0351198752,0.2204527166,0.7444274082,0.2601880566
-2.0000000000,54.0000000000,0.0236516680,0.1473741791,0.8289741530,0.0302627404,0.1885679488,0.7811693108,0.2184558405
-2.0000000000,55.0000000000,0.0235406411,0.1493675540,0.8270918049,0.0285691280,0.1812737699,0.7901571021,0.1760112118
-2.0000000000,56.0000000000,0.0242245856,0.1428060165,0.8329693978,0.0281889963,0.1661765585,0.8056344452,0.1406368153
-1.0000000000,45.0000000000,0.0302328399,0.1510471014,0.8187200587,0.0396537111,0.1981149682,0.7622313207,0.2375785497
-1.0000000000,46.0000000000,0.0271203921,0.1492998189,0.8235797891,0.0384780030,0.2118243300,0.7496976670,0.2951715279
-1.0000000000,47.0000000000,0.0226556759,0.1500037858,0.8273405383,0.0360426625,0.2386393528,0.7253179847,0.3714205806
-1.0000000000,48.0000000000,0.0186408936,0.1393752038,0.8419839026,0.0342828116,0.2563275104,0.7093896780,0.4562612356
-1.0000000000,49.0000000000,0.0167290837,0.1495478603,0.8337230560,0.0327627096,0.2928787504,0.6743585400,0.4893864435
-1.0000000000,50.0000000000,0.0153279282,0.1465641851,0.8381078868,0.0290594621,0.2778638008,0.6930767372,0.4725322813
-1.0000000000,51.0000000000,0.0198289241,0.1556348819,0.8245361940,0.0317340032,0.2490764408,0.7191895560,0.3751521366
-1.0000000000,52.0000000000,0.0254940241,0.1830149837,0.7914909922,0.0386712253,0.2776106918,0.6837180829,0.3407495133
-1.0000000000,53.0000000000,0.0277495448,0.1892210931,0.7830293621,0.0393337121,0.2682122554,0.6924540325,0.2945098917
-1.0000000000,54.0000000000,0.0268589248,0.1832620004,0.7898790748,0.0367454098,0.2507187966,0.7125357936,0.2690536055
-1.0000000000,55.0000000000,0.0204825899,0.1448066819,0.8347107282,0.0261734867,0.1850398700,0.7887866433,0.2174298330
0.0000000000,45.0000000000,0.0287731924,0.1404849965,0.8307418111,0.0424911543,0.2074628903,0.7500459554,0.3228427683
0.0000000000,46.0000000000,0.0290125912,0.1466983416,0.8242890672,0.0431401125,0.2181322897,0.7387275978,0.3274799354
0.0000000000,47.0000000000,0.0245776228,0.1478501709,0.8275722063,0.0393863169,0.2369339675,0.7236797156,0.3759857549
0.0000000000,48.0000000000,0.0315768674,0.1827969260,0.7856262066,0.0555017913,0.3212971293,0.6232010794,0.4310657975
