Lon,Lat,LCC_all_BC4000_C,LCC_all_BC4000_B,LCC_all_BC4000_U,NLC_all_BC4000_C,NLC_all_BC4000_B,NLC_all_BC4000_O,HLU_all_BC4000
6.0000000000,45.0000000000,0.6962731629,0.1707053421,0.1330214951,0.7086458851,0.1737387633,0.1176153517,0.0174596684
6.0000000000,46.0000000000,0.6554110770,0.2027648664,0.1418240566,0.6712078593,0.2076519252,0.1211402155,0.0235348590
6.0000000000,47.0000000000,0.5363342089,0.2933296284,0.1703361627,0.5536628348,0.3028069269,0.1435302382,0.0312981563
6.0000000000,48.0000000000,0.2681006402,0.4834539914,0.2484453685,0.2787228611,0.5026085712,0.2186685677,0.0381103327
6.0000000000,49.0000000000,0.1500992597,0.5738648607,0.2760358796,0.1567173742,0.5991674728,0.2441151530,0.0422296157
6.0000000000,50.0000000000,0.1162287792,0.6105077181,0.2732635028,0.1222601815,0.6421884920,0.2355513265,0.0493325159
6.0000000000,51.0000000000,0.0927048943,0.6370146015,0.2702805042,0.0982094851,0.6748389770,0.2269515379,0.0560494826
6.0000000000,52.0000000000,0.0597572421,0.6375772783,0.3026654796,0.0627486089,0.6694935350,0.2677578561,0.0476722403
6.0000000000,53.0000000000,0.0700685476,0.6031024345,0.3268290180,0.0727787836,0.6264303044,0.3007909119,0.0372393701
6.0000000000,54.0000000000,0.0684233798,0.5953703368,0.3362062834,0.0710508918,0.6182330298,0.3107160784,0.0369807045
6.0000000000,59.0000000000,0.1974122674,0.5219534725,0.2806342601,0.2013668678,0.5324093448,0.2662237874,0.0196387842
6.0000000000,60.0000000000,0.2405613674,0.4643078096,0.2951308230,0.2437178971,0.4704002318,0.2858818711,0.0129515714
6.0000000000,61.0000000000,0.2539724989,0.4354515152,0.3105759859,0.2563565505,0.4395391187,0.3041043308,0.0092997491
6.0000000000,62.0000000000,0.2516779398,0.4125267381,0.3357953220,0.2539318806,0.4162211852,0.3298469343,0.0088761629
6.0000000000,63.0000000000,0.2139836076,0.4554556114,0.3305607811,0.2159081238,0.4595518677,0.3245400085,0.0089135888
7.0000000000,45.0000000000,0.3554536589,0.3711043582,0.2734419829,0.3634523853,0.3794552702,0.2570923445,0.0220076321
7.0000000000,46.0000000000,0.6858622328,0.1785916694,0.1355460978,0.7009805643,0.1825283317,0.1164911040,0.0215674046
7.0000000000,47.0000000000,0.6291069256,0.2139685852,0.1569244892,0.6508479072,0.2213630151,0.1277890777,0.0334040892
7.0000000000,48.0000000000,0.2402808082,0.5087834984,0.2509356934,0.2512501842,0.5320106448,0.2167391710,0.0436591760
7.0000000000,49.0000000000,0.1635541697,0.5733790776,0.2630667527,0.1710136843,0.5995302275,0.2294560882,0.0436194018
7.0000000000,50.0000000000,0.1248025600,0.6110675214,0.2641299185,0.1306687044,0.6397897711,0.2295415246,0.0448932617
7.0000000000,51.0000000000,0.0994874531,0.6325668554,0.2679456916,0.1042016170,0.6625407244,0.2332576586,0.0452407949
7.0000000000,52.0000000000,0.0803614740,0.6345554588,0.2850830672,0.0838010611,0.6617153483,0.2544835907,0.0410446720
7.0000000000,53.0000000000,0.0767908423,0.6117814667,0.3114276910,0.0795898055,0.6340803993,0.2863297952,0.0351673583
7.0000000000,54.0000000000,0.0720103669,0.6046630776,0.3233265555,0.0747133145,0.6273594291,0.2979272565,0.0361775889
7.0000000000,59.0000000000,0.2031001917,0.5362902221,0.2606095862,0.2070635380,0.5467555191,0.2461809429,0.0191407251
7.0000000000,60.0000000000,0.2677543858,0.4377247666,0.2945208476,0.2706641234,0.4424816045,0.2868542720,0.0107503632
7.0000000000,61.0000000000,0.2658748123,0.4319335076,0.3021916800,0.2678389780,0.4351244416,0.2970365804,0.0073333825
7.0000000000,62.0000000000,0.2578277922,0.4131833592,0.3289888487,0.2596056927,0.4160325435,0.3243617638,0.0068484650
7.0000000000,63.0000000000,0.2405045918,0.4136101567,0.3458852515,0.2424604652,0.4169737894,0.3405657454,0.0080667726
8.0000000000,45.0000000000,0.1252465421,0.4977876356,0.3769658223,0.1301136164,0.5171316381,0.3527547455,0.0374063411
8.0000000000,46.0000000000,0.3206645457,0.3960955034,0.2832399509,0.3287037431,0.4060257873,0.2652704696,0.0244572738
8.0000000000,47.0000000000,0.6761908875,0.1840377093,0.1397714032,0.6980182570,0.1899784269,0.1120033161,0.0312704851
8.0000000000,48.0000000000,0.2878286636,0.4737977094,0.2383736269,0.3009303728,0.4953645669,0.2037050603,0.0435373439
8.0000000000,49.0000000000,0.2935284280,0.4893050480,0.2171665240,0.3086683339,0.5145429182,0.1767887479,0.0490491061
8.0000000000,50.0000000000,0.1329746011,0.6075894676,0.2594359312,0.1393951257,0.6369262211,0.2236786532,0.0460598929
8.0000000000,51.0000000000,0.1188993125,0.6214934312,0.2596072563,0.1241572448,0.6489769409,0.2268658143,0.0423489772
8.0000000000,52.0000000000,0.1042333313,0.6303714037,0.2653952649,0.1086124681,0.6568550874,0.2345324445,0.0403189138
8.0000000000,53.0000000000,0.0797374837,0.6300674821,0.2901950343,0.0827939009,0.6542185969,0.2629875022,0.0369159711
8.0000000000,54.0000000000,0.0723325997,0.6239772278,0.3036901725,0.0752207507,0.6488918647,0.2758873847,0.0383956684
8.0000000000,55.0000000000,0.0698148809,0.6346579154,0.2955272037,0.0733395031,0.6666987832,0.2599617137,0.0480589865
8.0000000000,56.0000000000,0.0604127611,0.6581572111,0.2814300278,0.0642221534,0.6996580284,0.2361198183,0.0593158595
8.0000000000,57.0000000000,0.0536667984,0.6762922256,0.2700409760,0.0571663325,0.7203922615,0.2224414060,0.0612166985
8.0000000000,59.0000000000,0.1793907573,0.5906029356,0.2300063071,0.1845932459,0.6077309363,0.2076758178,0.0281835261
8.0000000000,60.0000000000,0.2531928107,0.4930970500,0.2537101393,0.2569386937,0.5003922172,0.2426690891,0.0145788981
8.0000000000,61.0000000000,0.2627359998,0.4637017008,0.2735622994,0.2648727307,0.4674728084,0.2676544609,0.0080670095
8.0000000000,62.0000000000,0.2444620652,0.3955315300,0.3600064047,0.2460576688,0.3981131637,0.3558291675,0.0064846730
8.0000000000,63.0000000000,0.2405024758,0.4017065647,0.3577909595,0.2424264661,0.4049201680,0.3526533659,0.0079363874
8.0000000000,64.0000000000,0.1690770329,0.5353068502,0.2956161168,0.1705059662,0.5398309287,0.2896631051,0.0083805469
9.0000000000,45.0000000000,0.3320553110,0.3919930256,0.2759516634,0.3469187735,0.4095394206,0.2435418059,0.0428442150
9.0000000000,46.0000000000,0.3524725740,0.3691733392,0.2783540868,0.3616715474,0.3788081759,0.2595202767,0.0254346061
9.0000000000,47.0000000000,0.7065653485,0.1515890673,0.1418455842,0.7268560310,0.1559423032,0.1172016659,0.0279156829
9.0000000000,48.0000000000,0.5325933885,0.2981251736,0.1692814380,0.5545259527,0.3104021745,0.1350718728,0.0395519166
9.0000000000,49.0000000000,0.3725229338,0.4261162291,0.2013608371,0.3911715574,0.4474477512,0.1613806914,0.0476737719
9.0000000000,50.0000000000,0.2047568193,0.5558940362,0.2393491445,0.2147785487,0.5831020170,0.2021194343,0.0466607558
9.0000000000,51.0000000000,0.2099199193,0.5648102307,0.2252698499,0.2194825774,0.5905395047,0.1899779179,0.0435690987
9.0000000000,52.0000000000,0.1285602187,0.6282586376,0.2431811437,0.1342269178,0.6559511287,0.2098219534,0.0422173084
9.0000000000,53.0000000000,0.0836105014,0.6534418302,0.2629476684,0.0870577157,0.6803828719,0.2325594125,0.0395968840
9.0000000000,54.0000000000,0.0719136233,0.6593211876,0.2687651890,0.0750531905,0.6881054854,0.2368413241,0.0418312285
9.0000000000,55.0000000000,0.0654224959,0.6718454213,0.2627320827,0.0692057807,0.7106972341,0.2200969852,0.0546671788
9.0000000000,56.0000000000,0.0641505878,0.6882924739,0.2475569383,0.0693512491,0.7440920564,0.1865566946,0.0749901601
9.0000000000,57.0000000000,0.0605780077,0.7007502581,0.2386717343,0.0656147496,0.7590139475,0.1753713029,0.0767623436
9.0000000000,58.0000000000,0.0581668884,0.7109901913,0.2308429202,0.0624799674,0.7637101651,0.1738098675,0.0690313893
9.0000000000,59.0000000000,0.1210345832,0.6705398383,0.2084255785,0.1267757167,0.7023461094,0.1708781738,0.0452857511
9.0000000000,60.0000000000,0.1902374820,0.6004618171,0.2093007009,0.1950905210,0.6157798530,0.1891296260,0.0248758315
9.0000000000,61.0000000000,0.2350122664,0.5344572331,0.2305305006,0.2380108892,0.5412766033,0.2207125075,0.0125986792
9.0000000000,62.0000000000,0.2623999559,0.4602132679,0.2773867762,0.2644164112,0.4637498519,0.2718337369,0.0076260595
9.0000000000,63.0000000000,0.2314488274,0.4296800138,0.3388711587,0.2333086551,0.4331327459,0.3335585990,0.0079715332
9.0000000000,64.0000000000,0.1744428551,0.5531355701,0.2724215749,0.1759322285,0.5578581792,0.2662095923,0.0084656088
10.0000000000,45.0000000000,0.3528474593,0.3746116870,0.2725408537,0.3698521895,0.3926652978,0.2374825126,0.0459770978
10.0000000000,46.0000000000,0.6893583577,0.1694890771,0.1411525652,0.7060808506,0.1736005525,0.1203185970,0.0236835383
10.0000000000,47.0000000000,0.7462589890,0.0982864857,0.1554545252,0.7637985808,0.1005965482,0.1356048710,0.0229636350
10.0000000000,48.0000000000,0.5995738025,0.2371613435,0.1632648540,0.6208408164,0.2455735082,0.1335856754,0.0342551800
10.0000000000,49.0000000000,0.3948342519,0.4004838880,0.2046818601,0.4127726277,0.4186789418,0.1685484305,0.0434582493
10.0000000000,50.0000000000,0.3392917572,0.4526081197,0.2081001231,0.3546477098,0.4730926397,0.1722596505,0.0432991731
10.0000000000,51.0000000000,0.2423460583,0.5353837332,0.2222702085,0.2528192164,0.5585207238,0.1886600599,0.0414254827
10.0000000000,52.0000000000,0.1315766483,0.6259744492,0.2424489025,0.1372898276,0.6531548366,0.2095553359,0.0416140030
10.0000000000,53.0000000000,0.0932331485,0.6615371937,0.2452296579,0.0971896890,0.6896108860,0.2131994250,0.0407094680
10.0000000000,54.0000000000,0.0758083308,0.6889791702,0.2352124989,0.0795110842,0.7226314075,0.1978575083,0.0465690211
