Lon,Lat,LCC_elev_AD1425_C,LCC_elev_AD1425_B,LCC_elev_AD1425_U,NLC_elev_AD1425_C,NLC_elev_AD1425_B,NLC_elev_AD1425_O,HLU_elev_AD1425
-10.0000000000,52.0000000000,0.0275639600,0.2295749129,0.7428611271,0.0368789827,0.3071579429,0.6559630744,0.2525835055
-10.0000000000,53.0000000000,0.0265086822,0.2298848669,0.7436064509,0.0353865804,0.3068745279,0.6577388917,0.2508831918
-10.0000000000,54.0000000000,0.0260832317,0.2247165028,0.7492002654,0.0336780187,0.2901483472,0.6761736342,0.2255116908
-10.0000000000,55.0000000000,0.0273349184,0.2096085707,0.7630565109,0.0331658220,0.2543208818,0.7125132961,0.1758106170
-9.0000000000,52.0000000000,0.0267546214,0.2232607687,0.7499846098,0.0376022377,0.3137814725,0.6486162897,0.2884832653
-9.0000000000,53.0000000000,0.0258875930,0.2261462313,0.7479661757,0.0359186975,0.3137749453,0.6503063572,0.2792725017
-9.0000000000,54.0000000000,0.0260090737,0.2201132196,0.7538777067,0.0345363359,0.2922789247,0.6731847394,0.2469069749
-9.0000000000,55.0000000000,0.0270123869,0.2086420241,0.7643455890,0.0329430157,0.2544498383,0.7126071460,0.1800268944
-8.0000000000,53.0000000000,0.0262660138,0.2206864525,0.7530475337,0.0362462967,0.3045405628,0.6592131406,0.2753462774
-8.0000000000,54.0000000000,0.0267885227,0.2116226209,0.7615888564,0.0357077718,0.2820824547,0.6822097736,0.2497845314
-8.0000000000,55.0000000000,0.0260805291,0.2070545901,0.7668648808,0.0323159787,0.2565581281,0.7111258932,0.1929525226
-8.0000000000,56.0000000000,0.0274355718,0.1877385411,0.7848258871,0.0322725265,0.2208372801,0.7468901934,0.1498784033
-7.0000000000,53.0000000000,0.0259976325,0.2106022600,0.7634001075,0.0354288217,0.2870026696,0.6775685087,0.2662010415
-7.0000000000,54.0000000000,0.0257778740,0.2070283105,0.7671938155,0.0344491887,0.2766697264,0.6888810849,0.2517131773
-7.0000000000,55.0000000000,0.0253738213,0.2019517139,0.7726744648,0.0318509898,0.2535038728,0.7146451374,0.2033584667
-7.0000000000,56.0000000000,0.0271647327,0.1854080026,0.7874272647,0.0322680261,0.2202396148,0.7474923591,0.1581532563
-7.0000000000,58.0000000000,0.0298751625,0.1461668292,0.8239580082,0.0332787075,0.1628189687,0.8039023238,0.1022739524
-7.0000000000,59.0000000000,0.0313965431,0.1342318697,0.8343715871,0.0344993092,0.1474973458,0.8180033450,0.0899370491
-6.0000000000,51.0000000000,0.0247707893,0.1966262824,0.7786029283,0.0348440803,0.2765863406,0.6885695792,0.2890961931
-6.0000000000,55.0000000000,0.0253847164,0.1881127988,0.7865024849,0.0315970677,0.2341492715,0.7342536608,0.1966116418
-6.0000000000,56.0000000000,0.0300772746,0.1658249844,0.8040977410,0.0354151514,0.1952542910,0.7693305576,0.1507229698
-6.0000000000,57.0000000000,0.0330346534,0.1501291055,0.8168362411,0.0375190413,0.1705088303,0.7919721284,0.1195229878
-6.0000000000,58.0000000000,0.0311801131,0.1461547398,0.8226651471,0.0347088812,0.1626956096,0.8025955092,0.1016675854
