Lon,Lat,LCC_all_AD1900_C,LCC_all_AD1900_B,LCC_all_AD1900_U,NLC_all_AD1900_C,NLC_all_AD1900_B,NLC_all_AD1900_O,HLU_all_AD1900
-10.0000000000,52.0000000000,0.0293362094,0.1080167938,0.8626469969,0.1225797155,0.4513421511,0.4260781334,0.7606764768
-10.0000000000,53.0000000000,0.0272932170,0.1015720927,0.8711346904,0.1195503576,0.4449083455,0.4355412969,0.7717010847
-10.0000000000,54.0000000000,0.0311039641,0.1154196476,0.8534763883,0.1093969934,0.4059470480,0.4846559586,0.7156780714
-10.0000000000,55.0000000000,0.0365545990,0.1330711455,0.8303742556,0.0964546479,0.3511276513,0.5524177008,0.6210177553
-9.0000000000,52.0000000000,0.0258369578,0.0947721817,0.8793908605,0.1238289924,0.4542153865,0.4219556212,0.7913496889
-9.0000000000,53.0000000000,0.0201957169,0.0775856747,0.9022186083,0.1197017648,0.4598570197,0.4204412155,0.8312830479
-9.0000000000,54.0000000000,0.0228796560,0.0875059951,0.8896143489,0.1114562661,0.4262778893,0.4622658446,0.7947207743
-9.0000000000,55.0000000000,0.0343736108,0.1283740132,0.8372523759,0.0940106968,0.3510987105,0.5548905926,0.6343648968
-8.0000000000,53.0000000000,0.0206471317,0.0779316274,0.9014212408,0.1183792821,0.4468170314,0.4348036865,0.8255849219
-8.0000000000,54.0000000000,0.0228843000,0.0863322340,0.8907834660,0.1102013112,0.4157402841,0.4740584048,0.7923409462
-8.0000000000,55.0000000000,0.0347600851,0.1333521258,0.8318877891,0.0889525638,0.3412538672,0.5697935690,0.6092289683
-8.0000000000,56.0000000000,0.0428061213,0.1483081117,0.8088857671,0.0806329743,0.2793648152,0.6400022105,0.4691238710
-7.0000000000,53.0000000000,0.0276909177,0.1022017571,0.8701073252,0.1091333995,0.4027900157,0.4880765847,0.7462654160
-7.0000000000,54.0000000000,0.0315264705,0.1150075329,0.8534659966,0.1030322150,0.3758581493,0.5211096358,0.6940134645
-7.0000000000,55.0000000000,0.0416667874,0.1498184962,0.8085147164,0.0890678981,0.3202555173,0.5906765846,0.5321907411
-7.0000000000,56.0000000000,0.0471649676,0.1589781422,0.7938568902,0.0764285035,0.2576162374,0.6659552590,0.3828877256
-7.0000000000,58.0000000000,0.0420287273,0.1271638463,0.8308074264,0.0557213380,0.1685927728,0.7756858892,0.2457337038
-7.0000000000,59.0000000000,0.0354691666,0.1136672038,0.8508636295,0.0475678802,0.1524396666,0.7999924532,0.2543462843
-6.0000000000,51.0000000000,0.0502359256,0.1590086930,0.7907553814,0.1171774089,0.3708944626,0.5119281285,0.5712831843
-6.0000000000,55.0000000000,0.0449741024,0.1574618389,0.7975640588,0.0805879947,0.2821520200,0.6372599853,0.4419255306
-6.0000000000,56.0000000000,0.0490148458,0.1565707511,0.7944144031,0.0715122902,0.2284355447,0.7000521651,0.3145954963
-6.0000000000,57.0000000000,0.0431436111,0.1392138390,0.8176425499,0.0570216575,0.1839948868,0.7589834557,0.2433820232
-6.0000000000,58.0000000000,0.0389493278,0.1265083732,0.8345422990,0.0495628613,0.1609813908,0.7894557478,0.2141428737
-6.0000000000,59.0000000000,0.0376154445,0.1199626799,0.8424218756,0.0492867448,0.1571846368,0.7935286185,0.2368040393
-5.0000000000,49.0000000000,0.0486633679,0.1596981262,0.7916385059,0.1200955278,0.3941163874,0.4857880849,0.5947945040
-5.0000000000,51.0000000000,0.0510366297,0.1612288391,0.7877345312,0.1107945619,0.3500089780,0.5391964601,0.5393579901
-5.0000000000,52.0000000000,0.0498885375,0.1597489585,0.7903625040,0.1020758414,0.3268588373,0.5710653213,0.5112600907
-5.0000000000,53.0000000000,0.0497226415,0.1610970018,0.7891803567,0.0931331142,0.3017431298,0.6051237560,0.4661121137
-5.0000000000,54.0000000000,0.0488723612,0.1580518508,0.7930757880,0.0868288937,0.2808022167,0.6323688896,0.4371417267
-5.0000000000,55.0000000000,0.0471472473,0.1526788972,0.8001738555,0.0776133782,0.2513386397,0.6710479821,0.3925371069
-5.0000000000,56.0000000000,0.0465700388,0.1442808050,0.8091491561,0.0698753392,0.2164840408,0.7136406200,0.3335268295
-5.0000000000,57.0000000000,0.1338592565,0.1459470561,0.7201936874,0.1773269552,0.1933399883,0.6293330565,0.2451274183
-5.0000000000,58.0000000000,0.0367092339,0.1264078543,0.8368829118,0.0466127192,0.1605104000,0.7928768808,0.2124631532
-5.0000000000,59.0000000000,0.0327199754,0.1173902616,0.8498897630,0.0422230095,0.1514845314,0.8062924591,0.2250676651
-4.0000000000,48.0000000000,0.0431520987,0.1511747226,0.8056731787,0.1159026283,0.4060416111,0.4780557606,0.6276866251
-4.0000000000,49.0000000000,0.0397340825,0.1363009157,0.8239650018,0.1194799809,0.4098554638,0.4706645553,0.6674415062
-4.0000000000,51.0000000000,0.0512482640,0.1567291221,0.7920226140,0.1119932461,0.3425014193,0.5455053346,0.5423986201
-4.0000000000,52.0000000000,0.0543268062,0.1568909548,0.7887822390,0.1069952964,0.3089928416,0.5840118620,0.4922505194
-4.0000000000,53.0000000000,0.0487686311,0.1575218470,0.7937095219,0.0865170645,0.2794486432,0.6340342923,0.4363119994
-4.0000000000,54.0000000000,0.0465234174,0.1509016183,0.8025749643,0.0791301099,0.2566634680,0.6642064221,0.4120642899
-4.0000000000,55.0000000000,0.0468176928,0.1459883739,0.8071939333,0.0743615468,0.2318764689,0.6937619843,0.3704045324
-4.0000000000,56.0000000000,0.0411804582,0.1358658886,0.8229536532,0.0648712418,0.2140284324,0.7211003257,0.3651970114
-4.0000000000,57.0000000000,0.0397717412,0.1314626261,0.8287656327,0.0588917683,0.1946624988,0.7464457329,0.3246638313
-4.0000000000,58.0000000000,0.0354849172,0.1272801596,0.8372349231,0.0492947685,0.1768144468,0.7738907847,0.2801484158
-4.0000000000,59.0000000000,0.0332380964,0.1193160990,0.8474458046,0.0453908465,0.1629413027,0.7916678509,0.2677356998
-3.0000000000,48.0000000000,0.0359933063,0.1276465417,0.8363601520,0.1206119634,0.4277378658,0.4516501708,0.7015776440
-3.0000000000,49.0000000000,0.0307784400,0.1115038219,0.8577177382,0.1185581730,0.4295113529,0.4519304742,0.7403937728
-3.0000000000,51.0000000000,0.0444352157,0.1448329844,0.8107317998,0.1095158398,0.3569580043,0.5335261558,0.5942576363
-3.0000000000,52.0000000000,0.0433957620,0.1363402764,0.8202639616,0.1058514371,0.3325627555,0.5615858074,0.5900314328
-3.0000000000,53.0000000000,0.0434706400,0.1375616028,0.8189677573,0.0929950611,0.2942802240,0.6127247149,0.5325489394
-3.0000000000,54.0000000000,0.0429841370,0.1325454090,0.8244704540,0.0840401544,0.2591452900,0.6568145556,0.4885285816
-3.0000000000,55.0000000000,0.0401691366,0.1350782869,0.8247525765,0.0672215432,0.2260484458,0.7067300110,0.4024365599
-3.0000000000,56.0000000000,0.0370888724,0.1320004159,0.8309107116,0.0608406751,0.2165337984,0.7226255265,0.3903934770
-3.0000000000,57.0000000000,0.0345833790,0.1261024838,0.8393141372,0.0570767439,0.2081207613,0.7348024948,0.3940898402
-3.0000000000,58.0000000000,0.0336703373,0.1257006915,0.8406289712,0.0537511322,0.2006678588,0.7455810090,0.3735883153
-2.0000000000,45.0000000000,0.0751196289,0.2477908256,0.6770895454,0.1002657326,0.3307381707,0.5689960968,0.2507945934
-2.0000000000,47.0000000000,0.0416515837,0.1513701299,0.8069782864,0.1155363063,0.4198818903,0.4645818034,0.6394935495
-2.0000000000,48.0000000000,0.0290642257,0.1089688099,0.8619669644,0.1186362288,0.4447959078,0.4365678634,0.7550139109
-2.0000000000,49.0000000000,0.0265458107,0.1006701078,0.8727840815,0.1168872145,0.4432732762,0.4398395093,0.7728938035
-2.0000000000,50.0000000000,0.0328812387,0.1192951392,0.8478236221,0.1136266546,0.4122444320,0.4741289135,0.7106203749
-2.0000000000,51.0000000000,0.0428645978,0.1434191166,0.8137162856,0.1104917047,0.3696902219,0.5198180735,0.6120559643
-2.0000000000,52.0000000000,0.0378932330,0.1254764059,0.8366303611,0.1056833276,0.3499507186,0.5443659538,0.6414454971
-2.0000000000,53.0000000000,0.0383924494,0.1260972826,0.8355102680,0.0941286753,0.3091589714,0.5967123533,0.5921280175
-2.0000000000,54.0000000000,0.0373775022,0.1258052552,0.8368172426,0.0804782007,0.2708736536,0.6486481457,0.5355574323
-2.0000000000,55.0000000000,0.0368419292,0.1287133062,0.8344447645,0.0701584485,0.2451100158,0.6847315357,0.4748753706
-2.0000000000,56.0000000000,0.0361681435,0.1291953047,0.8346365518,0.0636913991,0.2275104255,0.7087981754,0.4321345739
-1.0000000000,45.0000000000,0.0689439160,0.2308375974,0.7002184866,0.1070066804,0.3582791121,0.5347142075,0.3557045622
-1.0000000000,46.0000000000,0.0546775126,0.1896282881,0.7556941993,0.1139633431,0.3952387854,0.4907978715,0.5202184221
-1.0000000000,47.0000000000,0.0387850910,0.1420121356,0.8192027733,0.1167713758,0.4275599724,0.4556686517,0.6678544654
-1.0000000000,48.0000000000,0.0313012786,0.1153273225,0.8533713989,0.1189729287,0.4383472474,0.4426798239,0.7369041937
-1.0000000000,49.0000000000,0.0303170244,0.1136467426,0.8560362330,0.1160552267,0.4350459424,0.4488988309,0.7387707102
-1.0000000000,50.0000000000,0.0309445948,0.1168392666,0.8522161386,0.1107590401,0.4181992079,0.4710417519,0.7206133718
-1.0000000000,51.0000000000,0.0376457693,0.1331511454,0.8292030853,0.1079070224,0.3816615756,0.5104314020,0.6511277166
-1.0000000000,52.0000000000,0.0366738531,0.1271007915,0.8362253554,0.1030413196,0.3571109165,0.5398477639,0.6440859531
-1.0000000000,53.0000000000,0.0356166578,0.1281337218,0.8362496204,0.0887304429,0.3192147327,0.5920548244,0.5985970925
-1.0000000000,54.0000000000,0.0349139432,0.1249542236,0.8401318332,0.0804362811,0.2878750474,0.6316886715,0.5659428467
-1.0000000000,55.0000000000,0.0329701265,0.1257220052,0.8413078683,0.0664535794,0.2534014318,0.6801449888,0.5038622935
0.0000000000,45.0000000000,0.0556297709,0.1877279135,0.7566423156,0.1168642333,0.3943693879,0.4887663788,0.5239794992
0.0000000000,46.0000000000,0.0538614606,0.1822299320,0.7639086073,0.1178047515,0.3985698050,0.4836254435,0.5427904228
0.0000000000,47.0000000000,0.0446027859,0.1579644832,0.7974327309,0.1170040084,0.4143794462,0.4686165454,0.6187926678
0.0000000000,48.0000000000,0.0415403848,0.1459320387,0.8125275765,0.1181650833,0.4151158349,0.4667190818,0.6484546566
0.0000000000,49.0000000000,0.0548411758,0.1370941145,0.8080647096,0.1656870928,0.4141910695,0.4201218377,0.6690075556
