Lon,Lat,LCC_elev_AD1900_C,LCC_elev_AD1900_B,LCC_elev_AD1900_U,NLC_elev_AD1900_C,NLC_elev_AD1900_B,NLC_elev_AD1900_O,HLU_elev_AD1900
-1.0000000000,50.0000000000,0.0352947651,0.1166740108,0.8480312240,0.1366038779,0.4515718482,0.4118242739,0.7416269165
-1.0000000000,51.0000000000,0.0434741237,0.1337431392,0.8227827371,0.1327002421,0.4082370258,0.4590627321,0.6723885127
-1.0000000000,52.0000000000,0.0402235685,0.1265282738,0.8332481577,0.1199299184,0.3772545824,0.5028154993,0.6646077220
-1.0000000000,53.0000000000,0.0400492881,0.1269389765,0.8330117354,0.1065221558,0.3376293080,0.5558485362,0.6240285618
-1.0000000000,54.0000000000,0.0385231806,0.1230618025,0.8384150169,0.0947083259,0.3025445230,0.6027471511,0.5932439917
-1.0000000000,55.0000000000,0.0405624320,0.1253843670,0.8340532011,0.0861415655,0.2662760867,0.6475823479,0.5291189362
0.0000000000,45.0000000000,0.0837883114,0.1859067340,0.7303049546,0.1859613834,0.4126049666,0.4014336500,0.5494316622
0.0000000000,46.0000000000,0.0783157683,0.1805700031,0.7411142286,0.1810691972,0.4174850892,0.4014457136,0.5674815514
0.0000000000,47.0000000000,0.0613121458,0.1577862198,0.7809016344,0.1702746165,0.4382000942,0.3915252892,0.6399219857
0.0000000000,48.0000000000,0.0548024748,0.1470100710,0.7981874543,0.1644749180,0.4412112674,0.3943138146,0.6668034527
0.0000000000,49.0000000000,0.0467103288,0.1378512584,0.8154384127,0.1508839152,0.4452877577,0.4038283271,0.6904220786
0.0000000000,50.0000000000,0.0385886786,0.1246922546,0.8367190668,0.1380989252,0.4462414106,0.4156596642,0.7205722022
0.0000000000,51.0000000000,0.0425897433,0.1334535512,0.8239567055,0.1324908525,0.4151557013,0.4523534461,0.6785457823
0.0000000000,52.0000000000,0.0420729305,0.1330687666,0.8248583029,0.1214667913,0.3841766172,0.4943565914,0.6536260651
0.0000000000,53.0000000000,0.0434346200,0.1363021436,0.8202632364,0.1098705904,0.3447848047,0.5453446049,0.6046747371
