Lon,Lat,LCC_elev_BC4000_C,LCC_elev_BC4000_B,LCC_elev_BC4000_U,NLC_elev_BC4000_C,NLC_elev_BC4000_B,NLC_elev_BC4000_O,HLU_elev_BC4000
-10.0000000000,52.0000000000,0.0633112858,0.4848172942,0.4518714200,0.0662362203,0.5072154943,0.4265482853,0.0441591402
-10.0000000000,53.0000000000,0.0638349296,0.4906742975,0.4454907729,0.0669314704,0.5144762034,0.4185923262,0.0462643476
-10.0000000000,54.0000000000,0.0620108748,0.4878143740,0.4501747512,0.0646231893,0.5083643913,0.4270124194,0.0404237938
-10.0000000000,55.0000000000,0.0633760770,0.4602627809,0.4763611420,0.0652780863,0.4740759435,0.4606459703,0.0291370248
-9.0000000000,52.0000000000,0.0619668807,0.5004321173,0.4376010020,0.0650330077,0.5251935448,0.4097734475,0.0471472427
-9.0000000000,53.0000000000,0.0599185212,0.5159419574,0.4241395214,0.0632067972,0.5442564004,0.3925368024,0.0520240882
-9.0000000000,54.0000000000,0.0602944643,0.5106774758,0.4290280599,0.0631709410,0.5350404393,0.4017886198,0.0455348076
-9.0000000000,55.0000000000,0.0596024343,0.4852142281,0.4551833375,0.0616896188,0.5022056749,0.4361047063,0.0338336415
-8.0000000000,53.0000000000,0.0554033442,0.5318123652,0.4127842906,0.0584125592,0.5606975841,0.3808898567,0.0515165746
-8.0000000000,54.0000000000,0.0585169787,0.5316300004,0.4098530209,0.0615004239,0.5587347650,0.3797648111,0.0485109686
-8.0000000000,55.0000000000,0.0543494632,0.5157478231,0.4299027138,0.0566262547,0.5373533772,0.4060203681,0.0402073478
-8.0000000000,56.0000000000,0.0564809251,0.4908479447,0.4526711302,0.0585388082,0.5087319947,0.4327291970,0.0351541680
-7.0000000000,53.0000000000,0.0513559767,0.5239126750,0.4247313483,0.0536522337,0.5473381498,0.3990096164,0.0427989076
-7.0000000000,54.0000000000,0.0511620220,0.5434939188,0.4053440592,0.0537468907,0.5709529667,0.3753001426,0.0480933623
-7.0000000000,55.0000000000,0.0485349540,0.5459655215,0.4054995245,0.0509250921,0.5728519796,0.3762229282,0.0469343898
-7.0000000000,56.0000000000,0.0505292173,0.5305265602,0.4189442225,0.0529012009,0.5554309691,0.3916678300,0.0448379912
-7.0000000000,58.0000000000,0.0578746966,0.4768527088,0.4652725946,0.0602723733,0.4966081235,0.4431195032,0.0397806918
-7.0000000000,59.0000000000,0.0625056251,0.4552906899,0.4822036850,0.0649236739,0.4729037462,0.4621725799,0.0372444847
-6.0000000000,51.0000000000,0.0459937752,0.4464203770,0.5075858479,0.0470596367,0.4567657405,0.4961746228,0.0226491670
-6.0000000000,55.0000000000,0.0435736515,0.5559587322,0.4004676163,0.0456643102,0.5826335671,0.3717021227,0.0457832098
-6.0000000000,56.0000000000,0.0516919479,0.5550441595,0.3932638926,0.0544140179,0.5842724843,0.3613134978,0.0500251606
-6.0000000000,57.0000000000,0.0581834543,0.5335624564,0.4082540892,0.0611024350,0.5603305217,0.3785670433,0.0477719208
-6.0000000000,58.0000000000,0.0542614488,0.5126974975,0.4330410537,0.0568066690,0.5367463946,0.4064469364,0.0448049532
-6.0000000000,59.0000000000,0.0598322196,0.4954754013,0.4446923790,0.0624390157,0.5170624883,0.4204984960,0.0417494742
-5.0000000000,49.0000000000,0.0463151321,0.4671631106,0.4865217574,0.0475431039,0.4795491953,0.4729077008,0.0258286007
-5.0000000000,51.0000000000,0.0441831290,0.4333939252,0.5224229458,0.0450240576,0.4416426250,0.5133333174,0.0186773180
-5.0000000000,52.0000000000,0.0435302858,0.4313813795,0.5250883347,0.0443208177,0.4392154823,0.5164636999,0.0178365817
-5.0000000000,53.0000000000,0.0412512228,0.4607734789,0.4979752983,0.0420845007,0.4700811390,0.4878343603,0.0198001138
-5.0000000000,54.0000000000,0.0405403122,0.5054405832,0.4540191045,0.0416208145,0.5189118582,0.4394673273,0.0259606227
-5.0000000000,55.0000000000,0.0448385370,0.5512574724,0.4039039905,0.0466225965,0.5731911968,0.3801862067,0.0382659826
-5.0000000000,56.0000000000,0.0554711573,0.5647608496,0.3797679931,0.0582172088,0.5927188453,0.3490639459,0.0471690683
-5.0000000000,57.0000000000,0.0603162163,0.5509510441,0.3887327396,0.0632894715,0.5781098774,0.3586006511,0.0469786702
-5.0000000000,58.0000000000,0.0559365747,0.5327114323,0.4113519930,0.0585442554,0.5575456543,0.3839100903,0.0445420422
-5.0000000000,59.0000000000,0.0583907248,0.5137257802,0.4278834950,0.0609069141,0.5358633939,0.4032296921,0.0413120468
-4.0000000000,48.0000000000,0.0522552000,0.4850361875,0.4627086126,0.0537375561,0.4987955142,0.4474669297,0.0275851052
-4.0000000000,49.0000000000,0.0444734551,0.4873538607,0.4681726842,0.0457572284,0.5014218448,0.4528209268,0.0280561852
-4.0000000000,51.0000000000,0.0460066526,0.4466447747,0.5073485728,0.0468621071,0.4549497540,0.4981881389,0.0182547178
-4.0000000000,52.0000000000,0.0499839310,0.4351604157,0.5148556534,0.0507679786,0.4419863393,0.5072456820,0.0154437436
-4.0000000000,53.0000000000,0.0403057586,0.4569034261,0.5027908153,0.0409692597,0.4644248300,0.4946059103,0.0161950943
-4.0000000000,54.0000000000,0.0399602406,0.4874488729,0.4725908865,0.0407289557,0.4968259260,0.4624451183,0.0188739207
-4.0000000000,55.0000000000,0.0462657893,0.5280131639,0.4257210468,0.0474809642,0.5418814753,0.4106375604,0.0255928871
-4.0000000000,56.0000000000,0.0495117903,0.5691582142,0.3813299955,0.0515635859,0.5927444404,0.3556919738,0.0397915603
-4.0000000000,57.0000000000,0.0513809783,0.5775743806,0.3710446411,0.0539806641,0.6067974898,0.3392218461,0.0481595749
-4.0000000000,58.0000000000,0.0486255598,0.5602572614,0.3911171787,0.0510142140,0.5877790179,0.3612067681,0.0468233054
-4.0000000000,59.0000000000,0.0563416549,0.5239972289,0.4196611162,0.0587043428,0.5459710587,0.3953245985,0.0402472427
-3.0000000000,48.0000000000,0.0508413400,0.5042086453,0.4449500147,0.0524152657,0.5198177329,0.4277670014,0.0300280015
-3.0000000000,49.0000000000,0.0437467515,0.5105552298,0.4456980187,0.0451594275,0.5270421486,0.4277984239,0.0312819739
-3.0000000000,51.0000000000,0.0414906832,0.4860952582,0.4724140586,0.0423881089,0.4966092901,0.4610026010,0.0211716376
-3.0000000000,52.0000000000,0.0411117576,0.4788432257,0.4800450166,0.0418667849,0.4876372962,0.4704959189,0.0180340400
-3.0000000000,53.0000000000,0.0408903075,0.4833032322,0.4758064603,0.0415742303,0.4913868617,0.4670389080,0.0164506423
-3.0000000000,54.0000000000,0.0466723248,0.4919635673,0.4613641079,0.0474382292,0.5000368119,0.4525249589,0.0161453004
-3.0000000000,55.0000000000,0.0438471788,0.5287545656,0.4273982556,0.0447675991,0.5398539447,0.4153784562,0.0205599666
-3.0000000000,56.0000000000,0.0392706758,0.5830321346,0.3776971896,0.0406574669,0.6036211301,0.3557214030,0.0341091364
-3.0000000000,57.0000000000,0.0427580580,0.6047442812,0.3524976608,0.0448226974,0.6339453005,0.3212320021,0.0460623642
-3.0000000000,58.0000000000,0.0463016267,0.5883339220,0.3653644514,0.0485929405,0.6174486152,0.3339584443,0.0471532246
-2.0000000000,45.0000000000,0.0662087765,0.4731738672,0.4606173563,0.0674829992,0.4822803469,0.4502366539,0.0188821288
-2.0000000000,47.0000000000,0.0600966754,0.5032333673,0.4366699573,0.0617686122,0.5172337158,0.4209976720,0.0270677414
-2.0000000000,48.0000000000,0.0536074467,0.5167935595,0.4295989938,0.0553530737,0.5336219825,0.4110249438,0.0315362253
-2.0000000000,49.0000000000,0.0446594513,0.5258879888,0.4294525599,0.0462185038,0.5442466328,0.4095348634,0.0337322143
-2.0000000000,50.0000000000,0.0401386263,0.5268719893,0.4329893843,0.0413998165,0.5434267602,0.4151734233,0.0304636651
-2.0000000000,51.0000000000,0.0407842183,0.5188921362,0.4403236455,0.0417953991,0.5317572538,0.4264473471,0.0241935912
-2.0000000000,52.0000000000,0.0392290690,0.5162846980,0.4444862330,0.0400587785,0.5272043129,0.4327369087,0.0207123018
-2.0000000000,53.0000000000,0.0399986074,0.5190027164,0.4409986762,0.0407418126,0.5286461894,0.4306119981,0.0182418283
-2.0000000000,54.0000000000,0.0398499062,0.5294766106,0.4306734832,0.0405711606,0.5390597538,0.4203690856,0.0177775157
-2.0000000000,55.0000000000,0.0365593256,0.5486601724,0.4147805020,0.0373099400,0.5599249379,0.4027651220,0.0201183494
-2.0000000000,56.0000000000,0.0381284053,0.5767540762,0.3851175185,0.0391648027,0.5924312697,0.3684039277,0.0264624680
-1.0000000000,45.0000000000,0.0767263817,0.4952550246,0.4280185937,0.0784503267,0.5063827798,0.4151668935,0.0219749874
-1.0000000000,46.0000000000,0.0763583371,0.5032475374,0.4203941255,0.0783301651,0.5162430737,0.4054267613,0.0251732894
-1.0000000000,47.0000000000,0.0674284670,0.5147918711,0.4177796619,0.0694786136,0.5304439967,0.4000773897,0.0295075931
-1.0000000000,48.0000000000,0.0627209990,0.5198764775,0.4174025235,0.0648298902,0.5373564752,0.3978136346,0.0325296121
-1.0000000000,49.0000000000,0.0476068389,0.5312861612,0.4211069999,0.0493389034,0.5506157776,0.4000453190,0.0351054532
-1.0000000000,50.0000000000,0.0412668405,0.5380075256,0.4207256339,0.0426824251,0.5564629045,0.4008546704,0.0331655152
-1.0000000000,51.0000000000,0.0402125678,0.5360456104,0.4237418218,0.0413361839,0.5510237510,0.4076400651,0.0271823866
-1.0000000000,52.0000000000,0.0377048227,0.5379939101,0.4243012673,0.0386004985,0.5507739239,0.4106255775,0.0232037381
-1.0000000000,53.0000000000,0.0356507341,0.5537440139,0.4106052520,0.0364332580,0.5658985437,0.3976681984,0.0214782842
-1.0000000000,54.0000000000,0.0349625706,0.5678245108,0.3972129186,0.0357181489,0.5800958019,0.3841860493,0.0211539042
